"categoria","nombre","uuid","display_openmrs","fuente","score","flag","alternativas"
"infeccioso","Dengue sin signos de alarma","142592AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Dengue","OPENMRS","85","OK",""
"infeccioso","Dengue con signos de alarma","142592AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Dengue","OPENMRS","85","OK",""
"infeccioso","Dengue grave (choque/hemorrágico)","142592AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Dengue","OPENMRS","85","OK",""
"infeccioso","Chikungunya","120743AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Chikungunya haemorrhagic fever","OPENMRS","88","OK","Chikungunya virus IgM antibody detection by immunoassay in serum/plasma (c017f8b9-1b22-42f3-8136-31dc61835a88) [88] || Chikungunya virus real time RT-PCR in serum or plasma (164924AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || Chikungunya haemorrhagic fever (120743AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88]"
"infeccioso","Zika","164922AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Zika virus real time RT-PCR in urine","OPENMRS","88","OK","Zika virus real time RT-PCR in urine (164922AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || Zika virus IgG antibody measurement in serum by neutralization (164934AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || Zika virus real time RT-PCR in cerebrospinal fluid (164921AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88]"
"infeccioso","Malaria por *P. vivax*","158379AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Paludismo causado por Plasmodium vivax, con ruptura esplénica","OPENMRS","30","REVISAR","Paludismo causado por Plasmodium vivax, con ruptura esplénica (158379AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30] || Other malaria (131377AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [15] || paludismo por Plasmodium ovale (131096AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [15]"
"infeccioso","Malaria por *P. falciparum*","152295AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","paludismo causado por Plasmodium falciparum, con complicaciones cerebrales","OPENMRS","30","REVISAR","paludismo causado por Plasmodium falciparum, con complicaciones cerebrales (152295AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30] || paludismo por Plasmodium falciparum (118353AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30] || Other malaria (131377AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [15]"
"infeccioso","Enfermedad de Chagas aguda","154947AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Enfermedad de Chagas aguda con compromiso cardíaco","OPENMRS","85","OK",""
"infeccioso","Enfermedad de Chagas crónica","119392AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","enfermedad","OPENMRS","85","OK",""
"infeccioso","Leishmaniasis cutánea","136110AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","leishmaniasis cutánea tardía","OPENMRS","85","OK",""
"infeccioso","Leishmaniasis mucocutánea","137418AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","leishmaniasis mucocutánea norteamericana","OPENMRS","85","OK",""
"infeccioso","Tuberculosis pulmonar (BK+)","42AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Tuberculosis pulmonar","CATALOGO","100","OK",""
"infeccioso","Tuberculosis extrapulmonar","112141AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Tuberculosis","OPENMRS","85","OK",""
"infeccioso","VIH / SIDA","149197AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","VIH/SIDA","CATALOGO","100","OK",""
"infeccioso","Influenza (gripe)","116958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Influenza (gripe)","CATALOGO","100","OK",""
"infeccioso","Faringoamigdalitis estreptocócica","166533AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Faringoamigdalitis","OPENMRS","85","OK",""
"infeccioso","Geohelmintiasis (parasitosis intestinal)","116699AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","helmintiasis intestinal","OPENMRS","95","OK",""
"infeccioso","Amebiasis intestinal","145315AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","amebiasis intestinal crónica","OPENMRS","85","OK",""
"infeccioso","Giardiasis","137433AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Lambliasis","OPENMRS","0","REVISAR","Lambliasis (137433AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [0]"
"infeccioso","Enfermedad diarreica aguda infecciosa","119429AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","enfermedad diarreica","OPENMRS","85","OK",""
"infeccioso","Fiebre tifoidea","141AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Fiebre tifoidea","CATALOGO","100","OK",""
"infeccioso","Leptospirosis","116341AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Leptospirosis","CATALOGO","100","OK",""
"infeccioso","Hepatitis A","77422AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Hepatitis A preparation","OPENMRS","85","OK",""
"infeccioso","Hepatitis B","77429AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Hepatitis B vaccine","OPENMRS","85","OK",""
"infeccioso","Hepatitis C","149743AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hepatitis C aguda","OPENMRS","85","OK",""
"infeccioso","Escabiosis (sarna)","140AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Escabiosis","CATALOGO","100","OK",""
"infeccioso","Pediculosis","130667AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","pediculosis capilar","OPENMRS","88","OK","pediculosis capilar (130667AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || pediculosis corporis (130666AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || infestación mixta por pediculosis (134037AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [80]"
"infeccioso","Celulitis bacteriana","155231AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Celulitis bacteriana","OPENMRS","100","OK",""
"infeccioso","Absceso cutáneo","150632AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","absceso","OPENMRS","85","OK",""
"infeccioso","Infección urinaria (cistitis)","111633AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Infeccion urinaria","CATALOGO","100","OK",""
"infeccioso","Neumonía adquirida en comunidad","114100AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","neumonía","OPENMRS","85","OK",""
"infeccioso","Bronquiolitis (VRS)","121009AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Bronquiolitis","CATALOGO","100","OK",""
"infeccioso","Otitis media aguda","149609AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Otitis media aguda","CATALOGO","100","OK",""
"infeccioso","Sinusitis bacteriana aguda","149891AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","sinusitis bacteriana aguda","OPENMRS","100","OK",""
"infeccioso","Conjuntivitis infecciosa","117024AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","conjuntivitis infecciosa","OPENMRS","100","OK",""
"infeccioso","Varicela","5c46caf2-3062-4a04-bb99-fe1fae98e6db","Varicela","CATALOGO","100","OK",""
"infeccioso","Sarampión","134561AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","sarampión","OPENMRS","100","OK","sarampión (134561AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [100] || sarampión con complicaciones intestinales (152208AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || sarampión complicado (115885AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88]"
