concept_uuid,nombre_es,tipo_alergeno,severidad_tipica
162171AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Penicilina,DRUG,moderada
71617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Aspirina,DRUG,leve
70116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ibuprofeno,DRUG,leve
162298AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Sulfamidas,DRUG,grave
162172AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Amoxicilina,DRUG,moderada
162180AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cefalosporinas,DRUG,moderada
162188AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Látex,ENVIRONMENT,moderada
162174AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ácaros del polvo,ENVIRONMENT,leve
162176AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Polen de gramíneas,ENVIRONMENT,leve
162178AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Caspa de mascotas,ENVIRONMENT,leve
162186AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Mariscos,FOOD,grave
162190AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Nueces,FOOD,grave
162192AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Maní,FOOD,moderada
162194AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Huevo,FOOD,leve
162196AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Leche de vaca,FOOD,leve
162198AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Trigo,FOOD,moderada
162200AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Soja,FOOD,leve
162202AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pescado,FOOD,moderada
162204AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Colorantes artificiales,FOOD,leve
162206AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Metamizol,DRUG,grave
