departamento,municipio,zona,peso
San Salvador,San Salvador,Colonia Escalón,4
San Salvador,San Salvador,Colonia San Benito,3
San Salvador,San Salvador,Colonia Miramonte,4
San Salvador,San Salvador,Colonia Miralvalle,3
San Salvador,San Salvador,Colonia Flor Blanca,3
San Salvador,San Salvador,Colonia Layco,4
San Salvador,San Salvador,Colonia Médica,2
San Salvador,San Salvador,Colonia Centroamérica,4
San Salvador,San Salvador,Colonia Costa Rica,3
San Salvador,San Salvador,Colonia La Rábida,3
San Salvador,San Salvador,Colonia Dina,3
San Salvador,San Salvador,Colonia Vista Hermosa,3
San Salvador,San Salvador,Colonia San Mateo,2
San Salvador,San Salvador,Colonia Maquilishuat,2
San Salvador,San Salvador,Ciudad Satélite,3
San Salvador,San Salvador,Barrio San Jacinto,5
San Salvador,San Salvador,Barrio Concepción,4
San Salvador,San Salvador,Barrio El Calvario,3
San Salvador,San Salvador,Barrio Candelaria,3
San Salvador,San Salvador,Barrio San Esteban,2
San Salvador,San Salvador,Barrio Lourdes,2
San Salvador,Mejicanos,Colonia Zacamil,6
San Salvador,Mejicanos,Colonia Metrópolis,4
San Salvador,Mejicanos,Colonia San Ramón,3
San Salvador,Mejicanos,Colonia Montreal,3
San Salvador,Mejicanos,Colonia Delicias del Norte,2
San Salvador,Mejicanos,Barrio El Centro,3
San Salvador,Soyapango,Colonia Las Margaritas,5
San Salvador,Soyapango,Ciudad Credisa,3
San Salvador,Soyapango,Colonia Guadalupe,3
San Salvador,Soyapango,Colonia San José,3
San Salvador,Soyapango,Colonia Sierra Morena,3
San Salvador,Soyapango,Colonia Prados de Venecia,3
San Salvador,Soyapango,Colonia Bosques del Río,2
San Salvador,Soyapango,Colonia Amatepec,2
San Salvador,Ciudad Delgado,Barrio Paleca,3
San Salvador,Ciudad Delgado,Colonia San Sebastián,2
San Salvador,Ciudad Delgado,Cantón Calle Real,1
San Salvador,Apopa,Colonia Valle Verde,3
San Salvador,Apopa,Colonia Madre Tierra,2
San Salvador,Apopa,Colonia Popotlán,3
San Salvador,Apopa,Colonia Chintuc,2
San Salvador,Apopa,Barrio El Centro,2
San Salvador,Apopa,Cantón Joya Galana,2
San Salvador,Ilopango,Colonia Santa Lucía,3
San Salvador,Ilopango,Colonia San Bartolo,3
San Salvador,Ilopango,Colonia Vista al Lago,2
San Salvador,San Martín,Residencial Altavista,3
San Salvador,San Martín,Barrio El Centro,2
San Salvador,Tonacatepeque,Distrito Italia,2
San Salvador,Tonacatepeque,Barrio El Centro,1
San Salvador,San Marcos,Barrio El Centro,2
San Salvador,San Marcos,Colonia 10 de Octubre,2
San Salvador,Cuscatancingo,Colonia Las Flores,2
San Salvador,Cuscatancingo,Ciudad Futura,2
San Salvador,Ayutuxtepeque,Colonia Bonanza,1
San Salvador,Ayutuxtepeque,Barrio El Centro,1
San Salvador,Nejapa,Barrio El Centro,1
San Salvador,Nejapa,Cantón Aldea de Mercedes,1
San Salvador,Guazapa,Barrio El Centro,1
San Salvador,Aguilares,Barrio El Centro,1
San Salvador,El Paisnal,Cantón San Francisco Dos Cerros,1
San Salvador,Panchimalco,Barrio El Centro,1
San Salvador,Panchimalco,Cantón Panchimalquito,1
San Salvador,Santo Tomás,Barrio El Centro,1
San Salvador,Santiago Texacuangos,Barrio El Centro,1
San Salvador,Rosario de Mora,Barrio El Centro,1
La Libertad,Santa Tecla,Colonia Las Delicias,3
La Libertad,Santa Tecla,Barrio El Calvario,2
La Libertad,Santa Tecla,Colonia Quezaltepec,2
La Libertad,Santa Tecla,Colonia Utila,2
La Libertad,Santa Tecla,Residencial Pinares de Suiza,2
La Libertad,Santa Tecla,Ciudad Merliot,3
La Libertad,Antiguo Cuscatlán,Colonia La Sultana,2
La Libertad,Antiguo Cuscatlán,Colonia Jardines de Guadalupe,2
La Libertad,Antiguo Cuscatlán,Residencial Santa Elena,2
La Libertad,Colón,Urbanización Campos Verdes de Lourdes,2
La Libertad,Colón,Cantón Lourdes,2
La Libertad,Colón,Barrio El Centro,1
La Libertad,San Juan Opico,Ciudad Versalles,1
La Libertad,San Juan Opico,Cantón Sitio del Niño,1
La Libertad,Quezaltepeque,Barrio El Centro,1
La Libertad,Ciudad Arce,Barrio El Centro,1
La Libertad,Zaragoza,Barrio El Centro,1
La Libertad,La Libertad,Barrio El Centro,1
La Libertad,Huizúcar,Barrio El Centro,1
Chalatenango,Chalatenango,Barrio El Centro,1
Chalatenango,Chalatenango,Barrio El Calvario,1
Chalatenango,Nueva Concepción,Barrio El Centro,1
Chalatenango,La Palma,Barrio San Antonio,1
Cuscatlán,Cojutepeque,Barrio San Nicolás,1
Cuscatlán,Cojutepeque,Colonia Fátima,1
Cuscatlán,Cojutepeque,Barrio El Calvario,1
Cuscatlán,Suchitoto,Barrio Santa Lucía,1
Cuscatlán,San Pedro Perulapán,Cantón El Espino,1
Cabañas,Sensuntepeque,Barrio El Calvario,1
Cabañas,Ilobasco,Barrio El Centro,1
San Vicente,San Vicente,Barrio El Santuario,1
San Vicente,San Vicente,Barrio San Francisco,1
San Vicente,Apastepeque,Barrio El Centro,1
La Paz,Zacatecoluca,Barrio Candelaria,1
La Paz,Zacatecoluca,Barrio Analco,1
La Paz,Olocuilta,Barrio El Centro,1
La Paz,Santiago Nonualco,Barrio El Centro,1
La Paz,San Luis Talpa,Cantón El Porvenir,1
Usulután,Usulután,Barrio La Merced,1
Usulután,Usulután,Barrio La Parroquia,1
Usulután,Jiquilisco,Barrio El Centro,1
Usulután,Santiago de María,Barrio El Centro,1
Usulután,Berlín,Barrio El Centro,1
San Miguel,San Miguel,Colonia Ciudad Jardín,1
San Miguel,San Miguel,Barrio San Felipe,1
San Miguel,San Miguel,Barrio El Calvario,1
San Miguel,San Miguel,Colonia Milagro de la Paz,1
San Miguel,Chinameca,Barrio El Centro,1
San Miguel,Moncagua,Barrio El Centro,1
Morazán,San Francisco Gotera,Barrio El Centro,1
Morazán,Perquín,Barrio El Centro,1
La Unión,La Unión,Barrio El Centro,1
La Unión,Santa Rosa de Lima,Barrio El Centro,1
La Unión,Conchagua,Cantón El Faro,1
Santa Ana,Santa Ana,Colonia El Palmar,1
Santa Ana,Santa Ana,Barrio Santa Bárbara,1
Santa Ana,Santa Ana,Barrio San Rafael,1
Santa Ana,Santa Ana,Barrio Santa Lucía,1
Santa Ana,Chalchuapa,Barrio El Centro,1
Santa Ana,Metapán,Barrio San Pedro,1
Santa Ana,Coatepeque,Barrio El Centro,1
Santa Ana,El Congo,Barrio El Centro,1
Sonsonate,Sonsonate,Barrio El Ángel,1
Sonsonate,Sonsonate,Barrio Veracruz,1
Sonsonate,Izalco,Barrio Asunción,1
Sonsonate,Izalco,Barrio Dolores,1
Sonsonate,Nahuizalco,Barrio El Centro,1
Sonsonate,Acajutla,Barrio El Centro,1
Sonsonate,Juayúa,Barrio El Centro,1
Sonsonate,Armenia,Barrio El Centro,1
Ahuachapán,Ahuachapán,Barrio El Calvario,1
Ahuachapán,Ahuachapán,Barrio Santa Cruz,1
Ahuachapán,Atiquizaya,Barrio El Centro,1
Ahuachapán,Concepción de Ataco,Barrio El Centro,1
Ahuachapán,Tacuba,Cantón El Rodeo,1
